CustomerID,Recency,Frequency,Monetary,RFM_Score
12369.0,413,3,1791.15,134
12414.0,217,6,952.4100000000001,243
12439.0,683,2,1158.18,123
12440.0,462,2,859.2,123
12469.0,523,2,3070.54,125
12525.0,498,3,973.73,133
12533.0,628,2,1367.89,124
12542.0,484,2,481.88,122
12573.0,227,5,717.41,243
12575.0,457,2,622.82,123
12601.0,190,6,681.26,243
12632.0,521,2,804.88,123
12634.0,536,2,490.0,122
12675.0,554,2,958.5,123
12677.0,555,2,395.1,122
12687.0,481,2,2138.91,124
12696.0,435,2,851.91,123
12711.0,612,2,1339.05,124
12737.0,499,2,3710.5,125
12741.0,529,2,406.07,122
12745.0,487,3,925.41,133
12761.0,458,2,782.95,123
12788.0,463,4,444.90000000000003,132
12791.0,374,6,1056.1100000000001,243
12800.0,470,3,584.25,132
12804.0,466,2,327.02,122
12806.0,435,4,2878.96,134
12810.0,535,2,534.99,122
12811.0,261,5,1033.9,243
12813.0,502,3,1687.8,134
12825.0,521,2,518.63,122
12862.0,426,2,1008.32,123
12898.0,464,2,310.96,122
12905.0,577,2,1018.42,123
12926.0,411,4,1548.46,134
12943.0,558,2,496.5,122
12960.0,414,4,1322.0700000000002,134
12972.0,414,4,1161.2,133
12998.0,493,3,920.08,133
13019.0,379,6,1229.95,243
13020.0,563,2,618.96,123
13024.0,471,2,555.87,122
13039.0,584,4,1010.73,133
13041.0,451,4,799.13,133
13042.0,598,3,1556.54,134
13057.0,530,3,722.09,133
13073.0,411,2,418.08,122
13074.0,511,4,1378.74,134
13123.0,473,2,506.75,122
13150.0,484,3,449.96999999999997,132
13164.0,569,2,372.2,122
13175.0,582,2,831.45,123
13190.0,544,3,570.66,132
13201.0,502,4,1240.61,133
13223.0,200,6,969.12,243
13234.0,673,2,356.95,122
13287.0,603,3,781.59,133
13288.0,443,5,927.61,143
13293.0,392,6,1192.94,243
13333.0,411,3,1015.74,133
13346.0,463,6,299.4,142
13360.0,432,4,1553.65,134
13361.0,472,2,1450.5,124
13371.0,505,2,2297.66,124
13374.0,415,2,422.8,122
13386.0,414,2,835.46,123
13393.0,584,4,1131.45,133
13406.0,427,2,568.92,122
13407.0,579,3,2244.7,134
13413.0,640,6,429.44,142
13415.0,473,4,800.67,133
13432.0,571,2,439.1,122
13433.0,501,4,658.32,133
13442.0,667,3,419.87,132
13459.0,625,2,1160.41,123
13462.0,253,5,1153.8500000000001,243
13465.0,446,2,931.12,123
13472.0,464,2,592.24,122
13480.0,417,2,627.82,123
13526.0,738,2,1182.0,123
13537.0,426,2,717.85,123
13540.0,467,3,632.39,133
13541.0,427,2,785.25,123
13543.0,634,2,1439.61,124
13559.0,513,2,990.0,123
13567.0,428,4,1083.69,133
