CustomerID,Recency,Frequency,Monetary,RFM_Score
12346.0,326,12,77556.46,255
12402.0,323,6,1256.9,244
12482.0,576,29,23691.4,155
12549.0,576,6,1575.68,144
12623.0,276,7,3747.84,245
12755.0,281,11,9030.66,255
12765.0,472,6,1404.58,144
12835.0,428,41,6043.31,155
12857.0,211,6,3688.0,245
12872.0,327,12,3685.4900000000002,255
12932.0,539,8,1698.56,144
12975.0,437,6,2100.09,144
12976.0,212,8,3156.38,245
12978.0,385,5,2502.82,244
12982.0,243,8,2744.81,244
12986.0,429,10,2729.84,154
13031.0,407,5,3419.27,245
13044.0,291,11,4853.9,255
13052.0,212,7,3168.53,245
13059.0,250,10,2303.17,254
13065.0,373,5,1260.91,244
13093.0,276,55,54943.65,255
13152.0,417,7,2146.38,144
13202.0,394,7,1580.3,244
13206.0,400,13,8377.32,255
13214.0,418,7,3264.23,145
13239.0,262,5,1594.69,244
13243.0,203,5,1278.04,244
13357.0,257,5,3838.36,245
13382.0,281,5,1387.58,244
13440.0,423,7,1295.25,144
13443.0,449,6,1280.16,144
13446.0,430,11,3881.89,155
13478.0,469,5,2215.78,144
13485.0,233,11,3019.2200000000003,255
13497.0,283,6,1320.3300000000002,244
13506.0,316,5,1639.2,244
13531.0,205,6,1738.52,244
13542.0,377,17,4006.17,255
13554.0,380,7,1638.28,244
13561.0,216,11,1820.72,254
13615.0,319,8,6272.53,245
13648.0,400,8,1764.02,244
13649.0,257,6,1678.88,244
13659.0,206,12,4894.88,255
13693.0,374,9,2011.8200000000002,254
13707.0,267,5,3365.86,245
13711.0,219,9,1792.26,254
13715.0,281,17,8483.29,255
13740.0,241,5,1597.77,244
13762.0,219,5,2472.48,244
13786.0,367,6,3358.94,245
13819.0,302,6,2642.35,244
13874.0,358,7,2049.15,244
13902.0,632,5,34095.26,145
13952.0,218,14,12823.521,255
13958.0,380,8,4709.2300000000005,245
13963.0,308,17,3011.87,255
14000.0,211,5,2046.34,244
14025.0,465,8,4057.9,145
14063.0,438,9,22710.2,155
14081.0,302,10,5370.1,255
14105.0,239,5,5988.83,245
14114.0,274,7,1364.09,244
14134.0,383,15,11123.35,255
14136.0,401,5,1570.81,244
14154.0,239,8,6460.7,245
14160.0,610,7,8421.47,145
14161.0,216,7,3318.88,245
14186.0,427,5,1550.63,144
14195.0,202,6,2615.6,244
14249.0,411,12,5625.461,155
14256.0,260,5,2473.9900000000002,244
14316.0,422,5,1370.34,144
14320.0,207,5,1346.75,244
14399.0,394,8,2113.16,244
14439.0,320,5,9443.04,245
14442.0,205,7,5367.02,245
14465.0,247,11,3946.03,255
14492.0,430,7,1921.91,144
14496.0,312,7,2668.23,244
14532.0,236,11,3859.1800000000003,255
14590.0,425,20,3006.62,155
14625.0,196,11,4497.88,255
14648.0,416,15,4546.86,155
14669.0,242,7,3243.93,245
14685.0,576,8,4619.79,145
14740.0,197,11,4161.06,255
14770.0,232,8,3637.6400000000003,245
14817.0,200,7,3959.86,245
14821.0,367,7,1286.45,244
14828.0,197,13,9839.460000000001,255
14850.0,312,7,1794.01,244
14870.0,262,6,1838.95,244
14896.0,205,8,2092.42,244
14988.0,212,7,2066.6,244
15013.0,488,10,1641.3,154
15015.0,501,13,2365.02,154
15032.0,256,8,13780.65,245
15057.0,275,5,3255.96,245
15079.0,213,11,3767.35,255
15100.0,334,7,2894.7,244
15141.0,458,7,1388.47,144
15167.0,321,5,1659.67,244
15173.0,381,7,1494.6,244
15222.0,319,11,3550.91,255
15223.0,226,5,1417.95,244
15235.0,218,16,2937.81,254
15279.0,355,5,1580.54,244
15326.0,334,5,1700.52,244
15332.0,366,6,6553.74,245
15353.0,255,7,3175.95,245
15369.0,492,11,6251.26,155
15381.0,214,5,1890.57,244
15413.0,692,5,6798.72,145
15422.0,323,7,1619.97,244
15456.0,283,10,2119.27,254
15538.0,538,6,3358.4,145
15580.0,377,8,1381.19,244
15590.0,382,5,1496.6,244
15607.0,337,9,1708.97,254
15633.0,509,13,4352.46,155
15638.0,379,6,2265.2,244
15658.0,190,8,2423.4700000000003,244
15732.0,212,10,1682.07,254
15751.0,461,11,1380.44,154
15777.0,241,7,1762.6100000000001,244
15789.0,358,6,1962.01,244
15808.0,306,21,18409.93,255
15882.0,199,8,1495.98,244
15911.0,624,8,1702.34,144
15972.0,456,5,1810.27,144
16004.0,475,5,2146.39,144
16010.0,246,11,1724.06,254
16032.0,456,6,1970.45,144
16037.0,270,5,1509.3400000000001,244
16065.0,365,8,2382.62,254
16072.0,288,4,4328.89,245
16087.0,389,5,1739.92,244
16096.0,264,4,1584.97,244
16105.0,249,5,2386.19,244
16124.0,317,4,1772.49,244
16125.0,367,14,4587.65,255
16163.0,232,6,2849.58,244
16167.0,414,5,1386.12,144
16176.0,421,4,2052.69,144
16197.0,469,9,2016.71,154
16202.0,361,9,2501.9900000000002,254
16290.0,465,4,2069.3,144
16296.0,626,4,1313.67,144
16329.0,428,4,1703.07,144
16331.0,432,6,2037.7,144
16335.0,552,7,2774.0,144
16336.0,421,4,3517.69,145
16351.0,333,13,3330.03,255
16467.0,509,7,2869.16,144
16499.0,360,8,2578.34,254
16510.0,372,6,2100.0,244
16529.0,190,4,2012.0,244
16546.0,291,5,5606.47,245
16588.0,386,4,1361.28,244
16619.0,264,4,1938.3300000000002,244
16625.0,275,5,1654.03,244
16631.0,482,7,1892.52,144
16634.0,223,6,1814.6100000000001,244
16636.0,438,4,3802.04,145
16692.0,256,4,1914.6999999999998,244
16714.0,219,4,1529.8,244
16718.0,369,5,3647.53,245
16725.0,302,14,1882.11,254
16727.0,364,4,1437.42,244
16736.0,506,5,2956.56,144
16754.0,372,29,67502.47,255
16756.0,215,7,1312.3700000000001,244
16797.0,393,5,1827.77,244
16812.0,361,4,2392.0,244
16823.0,227,7,2260.09,244
16858.0,369,10,4668.28,255
16889.0,195,6,2530.9,244
16926.0,371,5,1421.35,244
16943.0,212,5,1299.49,244
17032.0,548,8,3004.6,155
17113.0,574,6,2322.59,144
17138.0,276,7,4417.27,245
17142.0,239,4,1283.75,244
17145.0,513,4,3120.91,145
17150.0,377,6,1375.65,244
17152.0,195,4,2016.5,244
17165.0,284,6,1794.32,244
17230.0,264,18,9924.95,255
17241.0,385,12,2744.14,254
17307.0,395,11,3999.8900000000003,255
17343.0,355,6,1259.94,244
17406.0,333,13,4905.05,255
17438.0,254,5,1422.77,244
17448.0,497,46,14556.970000000001,155
17454.0,192,10,1547.94,254
17465.0,426,7,2542.79,144
17496.0,359,4,1412.89,244
17504.0,206,18,9565.12,255
17508.0,281,8,4579.23,255
17550.0,197,9,2547.64,254
17582.0,236,5,1450.7,244
17597.0,214,5,3484.09,245
17610.0,540,5,1529.49,144
17646.0,219,12,4149.79,255
17714.0,321,5,1410.18,244
17732.0,373,8,2470.39,254
17822.0,420,5,2188.5,144
17829.0,299,5,4756.74,245
17850.0,372,155,56600.08,255
17851.0,422,6,1563.34,144
17862.0,324,4,1279.09,244
17908.0,374,5,1411.54,244
17978.0,365,4,1461.76,244
17990.0,237,6,1527.6100000000001,244
18009.0,235,8,2155.83,254
18051.0,634,7,2282.28,144
18071.0,258,6,1428.63,244
18085.0,330,4,1645.75,244
18095.0,313,5,2303.09,244
18106.0,330,6,1461.46,244
18214.0,531,4,1780.34,144
18220.0,227,6,1921.76,244
18231.0,192,28,6880.97,255
18239.0,219,6,2150.36,244
18258.0,464,6,2059.67,144
